연번,종목,명칭,소재지,관리자,상세페이지링크
1,보물,세종시 연화사 무인명불비상 및 대좌(世宗市 蓮花寺 戊寅銘佛碑像 및 臺座),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06490000&ccbaCtcd=45&ccbaCpno=1123406490000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
2,보물,세종시 연화사 칠존불비상(世宗市 蓮花寺 七尊佛碑像),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06500000&ccbaCtcd=45&ccbaCpno=1123406500000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
3,보물,대승기신론소(大乘起信論疏),세종,국립한국문학관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=17130000&ccbaCtcd=45&ccbaCpno=1123817130000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
4,보물,세종 비암사 극락보전(世宗 碑巖寺 極樂寶殿),세종,대한불교조계종 비암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=21190000&ccbaCtcd=45&ccbaCpno=1124521190000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
5,천연기념물,연기 봉산동 향나무(燕岐 鳳山洞 香나무),세종,세종특별자치시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=03210000&ccbaCtcd=45&ccbaCpno=1363403210000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
6,천연기념물,세종 임난수 은행나무(世宗 林蘭秀 은행나무),세종,세＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=05700000&ccbaCtcd=45&ccbaCpno=1364505700000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
7,국가민속문화유산,세종 홍판서댁(世宗 洪判書宅),세종,백＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=18&ccbaAsno=01380000&ccbaCtcd=45&ccbaCpno=1483301380000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
8,세종특별자치시유형문화유산,연서 효교비(燕西 孝橋碑),세종,홍순명,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00020000&ccbaCtcd=45&ccbaCpno=2114500020000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
9,세종특별자치시유형문화유산,전의 비암사 삼층석탑(全義 碑岩寺 三層石塔),세종,비암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00030000&ccbaCtcd=45&ccbaCpno=2114500030000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
10,세종특별자치시유형문화유산,남평조씨 병자일기(南平曺氏 丙子日記),세종,행정중심복합도시건설청,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00040000&ccbaCtcd=45&ccbaCpno=2114500040000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
1,보물,세종시 연화사 무인명불비상 및 대좌(世宗市 蓮花寺 戊寅銘佛碑像 및 臺座),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06490000&ccbaCtcd=45&ccbaCpno=1123406490000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
2,보물,세종시 연화사 칠존불비상(世宗市 蓮花寺 七尊佛碑像),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06500000&ccbaCtcd=45&ccbaCpno=1123406500000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
3,보물,대승기신론소(大乘起信論疏),세종,국립한국문학관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=17130000&ccbaCtcd=45&ccbaCpno=1123817130000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
4,보물,세종 비암사 극락보전(世宗 碑巖寺 極樂寶殿),세종,대한불교조계종 비암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=21190000&ccbaCtcd=45&ccbaCpno=1124521190000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
5,천연기념물,연기 봉산동 향나무(燕岐 鳳山洞 香나무),세종,세종특별자치시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=03210000&ccbaCtcd=45&ccbaCpno=1363403210000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
6,천연기념물,세종 임난수 은행나무(世宗 林蘭秀 은행나무),세종,세＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=05700000&ccbaCtcd=45&ccbaCpno=1364505700000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
7,국가민속문화유산,세종 홍판서댁(世宗 洪判書宅),세종,백＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=18&ccbaAsno=01380000&ccbaCtcd=45&ccbaCpno=1483301380000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
8,세종특별자치시유형문화유산,연서 효교비(燕西 孝橋碑),세종,홍순명,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00020000&ccbaCtcd=45&ccbaCpno=2114500020000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
9,세종특별자치시유형문화유산,전의 비암사 삼층석탑(全義 碑岩寺 三層石塔),세종,비암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00030000&ccbaCtcd=45&ccbaCpno=2114500030000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
10,세종특별자치시유형문화유산,남평조씨 병자일기(南平曺氏 丙子日記),세종,행정중심복합도시건설청,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00040000&ccbaCtcd=45&ccbaCpno=2114500040000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
1,보물,세종시 연화사 무인명불비상 및 대좌(世宗市 蓮花寺 戊寅銘佛碑像 및 臺座),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06490000&ccbaCtcd=45&ccbaCpno=1123406490000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
2,보물,세종시 연화사 칠존불비상(世宗市 蓮花寺 七尊佛碑像),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06500000&ccbaCtcd=45&ccbaCpno=1123406500000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
3,보물,대승기신론소(大乘起信論疏),세종,국립한국문학관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=17130000&ccbaCtcd=45&ccbaCpno=1123817130000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
4,보물,세종 비암사 극락보전(世宗 碑巖寺 極樂寶殿),세종,대한불교조계종 비암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=21190000&ccbaCtcd=45&ccbaCpno=1124521190000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
5,천연기념물,연기 봉산동 향나무(燕岐 鳳山洞 香나무),세종,세종특별자치시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=03210000&ccbaCtcd=45&ccbaCpno=1363403210000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
6,천연기념물,세종 임난수 은행나무(世宗 林蘭秀 은행나무),세종,세＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=05700000&ccbaCtcd=45&ccbaCpno=1364505700000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
7,국가민속문화유산,세종 홍판서댁(世宗 洪判書宅),세종,백＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=18&ccbaAsno=01380000&ccbaCtcd=45&ccbaCpno=1483301380000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
8,세종특별자치시유형문화유산,연서 효교비(燕西 孝橋碑),세종,홍순명,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00020000&ccbaCtcd=45&ccbaCpno=2114500020000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
9,세종특별자치시유형문화유산,전의 비암사 삼층석탑(全義 碑岩寺 三層石塔),세종,비암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00030000&ccbaCtcd=45&ccbaCpno=2114500030000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
10,세종특별자치시유형문화유산,남평조씨 병자일기(南平曺氏 丙子日記),세종,행정중심복합도시건설청,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=21&ccbaAsno=00040000&ccbaCtcd=45&ccbaCpno=2114500040000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
1,보물,세종시 연화사 무인명불비상 및 대좌(世宗市 蓮花寺 戊寅銘佛碑像 및 臺座),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06490000&ccbaCtcd=45&ccbaCpno=1123406490000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
2,보물,세종시 연화사 칠존불비상(世宗市 蓮花寺 七尊佛碑像),세종,연화사(주지:이종숙),https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=06500000&ccbaCtcd=45&ccbaCpno=1123406500000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
3,보물,대승기신론소(大乘起信論疏),세종,국립한국문학관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=17130000&ccbaCtcd=45&ccbaCpno=1123817130000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
4,보물,세종 비암사 극락보전(世宗 碑巖寺 極樂寶殿),세종,대한불교조계종 비암사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=12&ccbaAsno=21190000&ccbaCtcd=45&ccbaCpno=1124521190000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
5,천연기념물,연기 봉산동 향나무(燕岐 鳳山洞 香나무),세종,세종특별자치시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=03210000&ccbaCtcd=45&ccbaCpno=1363403210000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
6,천연기념물,세종 임난수 은행나무(世宗 林蘭秀 은행나무),세종,세＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=45&ccbaKdcd=16&ccbaAsno=05700000&ccbaCtcd=45&ccbaCpno=1364505700000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
